dataset,features,n_extra,seed,rmse,mae,r2
lipo,none,0,0,0.6242700907651665,0.46387121798711295,0.7102156299676172
lipo,all,53,0,0.6455707655556763,0.49335362313667813,0.6901028288482438
lipo,electronic,7,0,0.6267633656328448,0.4760230258857568,0.7078962655785619
lipo,energy,10,0,0.6457014012810564,0.49146309985682257,0.6899773964712533
lipo,multipole,14,0,0.637558512262509,0.489178467311965,0.6977474327224634
lipo,response,2,0,0.6265661565828243,0.47468438829531384,0.7080800556353504
lipo,rotational,6,0,0.6523648244003833,0.4991724537661509,0.6835457207026161
lipo,thermo,14,0,0.6339806846682555,0.4833001045475932,0.7011302540733284
lipo,qm_only,53,0,1.0742519960894572,0.8595778014158527,0.14189142877050231
lipo,mean_only,0,0,1.1599363374305007,0.9205077399380805,-0.0004564971415450536
lipo,none,0,1,0.7792438796755791,0.5783236251272075,0.5756378303428354
lipo,all,53,1,0.7817965907947415,0.5799864395417582,0.5728529554240427
lipo,electronic,7,1,0.7645594534443042,0.5735811248610211,0.5914808812409627
lipo,energy,10,1,0.7865190235430051,0.5770475907491329,0.5676770168987199
lipo,multipole,14,1,0.7966981902297141,0.5902940567277047,0.5564143149680008
lipo,response,2,1,0.7983520589678872,0.5868275872339042,0.5545707210414741
lipo,rotational,6,1,0.7854233389180215,0.5795062253177007,0.5688806996767438
lipo,thermo,14,1,0.7826178563123465,0.5806035331658644,0.5719550610140638
lipo,qm_only,53,1,1.1025893538568161,0.8856459900473997,0.15039423449818545
lipo,mean_only,0,1,1.201571036754169,0.9635934672522618,-0.008994418882418254
lipo,none,0,2,0.6391131131651204,0.47696559914482284,0.5935970897806031
lipo,all,53,2,0.618425398021208,0.4896594267093469,0.619481315238174
lipo,electronic,7,2,0.6116469290541646,0.4780100502065854,0.6277772172344892
lipo,energy,10,2,0.6314164779955012,0.4786703709412982,0.6033265117152433
lipo,multipole,14,2,0.6521592965887887,0.4889474304137533,0.576835982556234
lipo,response,2,2,0.63850163129362,0.4847941122534883,0.5943743829544257
lipo,rotational,6,2,0.6496892450712132,0.4902907921012312,0.5800353772837508
lipo,thermo,14,2,0.6387372518630059,0.4784774572108532,0.5940749589012253
lipo,qm_only,53,2,1.0084795711882617,0.8055509041943997,-0.011895262652926064
lipo,mean_only,0,2,1.020670410478444,0.827751757985936,-0.03650738736299619
